input,task,time,date,task_detail
"Remind me to post the parcel on Wednesday morning at 9 AM.","set_reminder","9:00 AM","Wednesday","Post parcel"
"Set a reminder to buy groceries on the 2nd of this month at 2 PM.","set_reminder","2:00 PM","2nd of this month","Buy groceries"
"Remind me to call the electrician on the 7th of this month at 10 AM.","set_reminder","10:00 AM","7th of this month","Call electrician"
"Schedule a lunch with Sarah for next Thursday at 12 PM.","set_reminder","12:00 PM","next Thursday","Lunch with Sarah"
"Set a reminder to pay the car insurance by 4 PM today.","set_reminder","4:00 PM","Today","Pay car insurance"
"Remind me to vacuum the house on Monday afternoon.","set_reminder","afternoon","Monday","Vacuum the house"
"Schedule a product meeting for Wednesday at 11:30 AM.","set_reminder","11:30 AM","Wednesday","Product meeting"
"Remind me to buy ferry tickets on the 21st of this month at 3 PM.","set_reminder","3:00 PM","21st of this month","Buy ferry tickets"
"Set a reminder for the photography class on Tuesday at 5 PM.","set_reminder","5:00 PM","Tuesday","Photography class"
"Schedule a mechanic appointment for next Saturday at 2:30 PM.","set_reminder","2:30 PM","next Saturday","Mechanic appointment"
"Remind me to send the report on Monday evening at 6 PM.","set_reminder","6:00 PM","Monday","Send report"
"Set a reminder to clean the bathroom on Sunday at 11 AM.","set_reminder","11:00 AM","Sunday","Clean the bathroom"
"Remind me to buy a gift for Mary on the 17th of this month at 4 PM.","set_reminder","4:00 PM","17th of this month","Buy gift for Mary"
"Schedule a breakfast with Tom for next Tuesday at 9 AM.","set_reminder","9:00 AM","next Tuesday","Breakfast with Tom"
"Set a reminder to pay the health insurance by 7 PM today.","set_reminder","7:00 PM","Today","Pay health insurance"
"Remind me to feed the fish on Thursday morning.","set_reminder","morning","Thursday","Feed the fish"
"Schedule a finance meeting for Friday at 2:30 PM.","set_reminder","2:30 PM","Friday","Finance meeting"
"Remind me to book a taxi for the airport on the 24th of this month at 1 PM.","set_reminder","1:00 PM","24th of this month","Book taxi for airport"
"Set a reminder for the singing class on Saturday at 10 AM.","set_reminder","10:00 AM","Saturday","Singing class"
"Schedule a physiotherapist appointment for next Sunday at 4:30 PM.","set_reminder","4:30 PM","next Sunday","Physiotherapist appointment"
"Remind me to send the invoices on Tuesday evening at 7 PM.","set_reminder","7:00 PM","Tuesday","Send invoices"
"Set a reminder to wash the windows on Monday at 2 PM.","set_reminder","2:00 PM","Monday","Wash the windows"
"Remind me to pick up the prescription on the 16th of this month at 5 PM.","set_reminder","5:00 PM","16th of this month","Pick up prescription"
"Schedule a dinner with Grace for next Wednesday at 8 PM.","set_reminder","8:00 PM","next Wednesday","Dinner with Grace"
"Set a reminder to pay the heating bill by 6 PM today.","set_reminder","6:00 PM","Today","Pay heating bill"
"Remind me to water the garden on Friday morning.","set_reminder","morning","Friday","Water the garden"
"Schedule a team meeting for Thursday at 3:30 PM.","set_reminder","3:30 PM","Thursday","Team meeting"
"Remind me to buy theatre tickets on the 26th of this month at 12 PM.","set_reminder","12:00 PM","26th of this month","Buy theatre tickets"
"Set a reminder for the piano class on Sunday at 4 PM.","set_reminder","4:00 PM","Sunday","Piano class"
"Schedule an optician appointment for next Monday at 10:30 AM.","set_reminder","10:30 AM","next Monday","Optician appointment"
"Remind me to post the birthday card on Wednesday morning at 9 AM.","set_reminder","9:00 AM","Wednesday","Post birthday card"
